"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1893668377945674091","Sun Feb 23 14:24:58 +0000 2025","0","Kepala daerah PDIP #KaburAjaDulu dari retret sama seperti banyaknya anak muda yang kabur ke luar negeri.","1893668377945674091","","","in","","0","0","0","https://x.com/Michael26464235/status/1893668377945674091","1716725113092005889","Michael26464235"
"1893668167626510702","Sun Feb 23 14:24:08 +0000 2025","0","Viralnya tagar #IndonesiaGelap dan #KaburAjaDulu sebagai kritik temporer atau sinyal kebutuhan perubahan yang lebih fundamental? Selengkapnya: https://t.co/vf6L3GZIVT","1893668167626510702","","","in","Jakarta, Indonesia","0","0","0","https://x.com/cyharyanto/status/1893668167626510702","56282588","cyharyanto"
"1893088423772106896","Sun Feb 23 14:23:44 +0000 2025","0","@aniesbaswedan Damn sebuah petuah yang ciamik dimana terdapat berbaai sudut pandang yang menguatkan bahwa rasa nasionalisme pun tetap masih ada dalam dinamika #kaburajadulu","1893668067487469600","","aniesbaswedan","in","","0","0","0","https://x.com/theakbrd/status/1893668067487469600","1438763002182836224","theakbrd"
"1893668055357489469","Sun Feb 23 14:23:41 +0000 2025","2","Dan banyak cewe indo ngidam pengen ke jepang buat nikahin cowo jepang noh #KaburAjaDulu terimalah saja cowo jepang buangan wanita jepang tersebut. Ur guys standards are trully low when even the japanese woman themself don't want to marry japanese men.","1893668055357489469","","","in","","0","0","0","https://x.com/TxIsMe1/status/1893668055357489469","1470465400529776640","TxIsMe1"
"1893591688276316433","Sun Feb 23 14:23:35 +0000 2025","1","@tanyarlfes gapapa terusin aja bakat adiknya dikembangin sapa tau malah bisa kerja diluar negeri dan dibutuhin di luar negeri. #kaburajadulu","1893668029260534205","","tanyarlfes","in","","0","0","0","https://x.com/Jenwindaay/status/1893668029260534205","1242731071742963713","Jenwindaay"
"1893667669070467469","Sun Feb 23 14:22:09 +0000 2025","8","Suara terdalam dari rakyat republik ini #IndonesiaGelap #IndonesiaGelap #AdiliJokowi #KaburAjaDulu https://t.co/EcZa0zqZMz","1893667669070467469","https://pbs.twimg.com/ext_tw_video_thumb/1893667639807139840/pu/img/2Y4Bayx4kAKDxTHs.jpg","","in","TASIKMALAYA KOTA","0","0","1","https://x.com/abuyahany/status/1893667669070467469","1434455521633849346","abuyahany"
"1893667455731433602","Sun Feb 23 14:21:18 +0000 2025","0","loh bukan nya anies bahas #kaburajadulu bahkan malah kabur benaran ke timteng (yaa ada hubungan nya dg indonesiagelap lah) nah kalo ganjar yaa emg langsung sepi ","1893667455731433602","","","in","D.K.I Jakarta","0","1","0","https://x.com/FRPrayogo/status/1893667455731433602","292255033","FRPrayogo"
"1893635251483599234","Sun Feb 23 14:18:47 +0000 2025","0","@kegblgnunfaedh Hayu gaskeun #KaburAjaDulu","1893666821154214080","","kegblgnunfaedh","in","Sukabumi, Indonesia","0","0","0","https://x.com/derikasep/status/1893666821154214080","66711879","derikasep"
"1893666455356346877","Sun Feb 23 14:17:20 +0000 2025","0","Kalau ada yang lagi nyari2 LPK buat kerja ke jepang boleh chat aku ya hehe #KaburAjaDulu","1893666455356346877","","","in","North Sumatra, Indonesia","0","0","0","https://x.com/TiaLofty/status/1893666455356346877","1107070128204595200","TiaLofty"
"1893665339675680833","Sun Feb 23 14:12:54 +0000 2025","0","profesor macam ap kayk bgtu #indonesiaGelap #kaburajadulu #bambangherohoax #kajagung #RuuKejaksaan https://t.co/nnuDfHUZIq","1893665339675680833","https://pbs.twimg.com/amplify_video_thumb/1893665239905832960/img/S_Ek4fw199ml3Fqo.jpg","","in","Indonesia","0","0","0","https://x.com/cisse217/status/1893665339675680833","1794285401915670528","cisse217"
"1893664962624520529","Sun Feb 23 14:11:24 +0000 2025","0","Woi lucu banget nder! Izin mereview terbuka. Kok bisa belum banyak obrolan? Udah saatnya kita jadwalkan jam mengobrol kita. Banyak yang harus kita bahas contohnya #kaburajadulu. Makasih banyak ya nder! Gue harap kita beneran bisa jadi sohib seterusnya. Sehat-sehat sender baik. https://t.co/G4bfyHYQLS","1893664962624520529","https://pbs.twimg.com/media/GkemP02aoAAV8Oo.jpg","","in","all in, K. ","2","3","2","https://x.com/ezrieladdams/status/1893664962624520529","2551412923","ezrieladdams"
"1893664881296936970","Sun Feb 23 14:11:04 +0000 2025","0","Si Bahlil dan sejenisnya tak prnh rasakan getirnya mereka Saat hrs hidup jauh dr keluarga Saat hanya kabar baik sj yg hrs keluarga kabarkan sampai wafatnya ortu pn kadang tk dikabari Pejuang² tangguh yg #KaburAjaDulu itu spt demi agar pr elite berhenti dr kebrengsekannya.. https://t.co/RGSyahl67e","1893664881296936970","https://pbs.twimg.com/ext_tw_video_thumb/1893664715508994048/pu/img/0Yl9DVqW-f6-sYR3.jpg","","in","Jabar - Indonesia","0","0","0","https://x.com/SadeemEdwa47753/status/1893664881296936970","1685140525492600832","SadeemEdwa47753"
"1893664231058248021","Sun Feb 23 14:08:29 +0000 2025","0","Aturan dapat pemerintah yg ngejamin rakyatnya berdaya saing di dunia global malah milih pemerintahan yg bilang klo kabur gausah balik lg sm mempertanyakan nasionalisme. Banyak cara untuk mencintai bangsa ini mungkin dengan #KaburAjaDulu semakin memperluas cakrawala bangsa ini. https://t.co/z2XrePvvJD","1893664231058248021","https://pbs.twimg.com/media/Gkelk6Hb0AA12U0.jpg","","in","","0","0","0","https://x.com/panggildam/status/1893664231058248021","1752125954250719232","panggildam"
"1893663176517931124","Sun Feb 23 14:04:18 +0000 2025","0","fix gue akan #KaburAjaDulu ke bangkok ‍↔️","1893663176517931124","","","in","","0","0","0","https://x.com/hyuck6658/status/1893663176517931124","1595005969804587008","hyuck6658"
"1893662980153147619","Sun Feb 23 14:03:31 +0000 2025","0","Tahun depan boleh ikutan #KaburAjaDulu","1893662980153147619","","","in","","0","0","0","https://x.com/kebijian/status/1893662980153147619","2300548746","kebijian"
"1893662575461552204","Sun Feb 23 14:01:55 +0000 2025","0","NNTI GUE PAKAI HASTAG #KaburAjaDulu KE THAI BIAR DISPESIALIN TERUS SM ILICHIL","1893662575461552204","","","in","","0","0","0","https://x.com/svvvvv89/status/1893662575461552204","1597973601201709057","svvvvv89"
"1893662535389237356","Sun Feb 23 14:01:45 +0000 2025","0","Takut salah ambil jalan Soalnya ngga bisa #KaburAjaDulu","1893662535389237356","","","in","Indonesia","0","0","0","https://x.com/windiedisini/status/1893662535389237356","83171534","windiedisini"
"1893662233458065733","Sun Feb 23 14:00:33 +0000 2025","0","akibat kasus ini rakyat babel jadi korban #indonesigelap #kaburajadulu #1ramadhan #sidangisbat #retretkepaladaerah #intruksimega #pdip https://t.co/iabMTrtyOw","1893662233458065733","https://pbs.twimg.com/amplify_video_thumb/1893662146887921664/img/XiN9CBJWEB9Q3jCZ.jpg","","in","Indonesia","0","0","0","https://x.com/cisse217/status/1893662233458065733","1794285401915670528","cisse217"
"1893661473357869089","Sun Feb 23 13:57:32 +0000 2025","0","next akun ini akan bnyak post web3 dan crypto feel free to unfoll jika keganggu #KaburAjaDulu ? percayalah dollar spend rupiah masih menyenangkan","1893661473357869089","","","in","","0","1","0","https://x.com/biroedonker/status/1893661473357869089","736477393200676864","biroedonker"
"1893085760833933624","Sun Feb 23 13:54:48 +0000 2025","0","@yusuf_dumdum Yah klo ga viral ya kaga diurusin. Treat maling aja Polisi pilih². Klo malingnya kaya disenyumin di jagain . Lha klo maling ayam yg miskin? Ya digebukin disiksa hrs ngaku. Jd ga salah pd #KaburAjaDulu lha kita aja suka di treat 3rd class sm bangsa sendiri!","1893660786054013261","","yusuf_dumdum","in","","0","0","0","https://x.com/RoroAjengJulia/status/1893660786054013261","1353157573","RoroAjengJulia"
